rosterSet,team,position,battingOrder,cardId,name,ovr
Normal,LG,1B,1,6,오스틴,70
Normal,LG,CF,2,11,박해민,70
Normal,LG,SS,3,7,오지환,68
Normal,LG,2B,4,5,신민재,67
Normal,LG,3B,5,3,문보경,67
Normal,LG,C,6,1,박동원,64
Normal,LG,RF,7,14,홍창기,63
Normal,LG,LF,8,10,문성주,62
Normal,LG,DH,9,4,문정빈,62
Normal,삼성,CF,1,29,김지찬,70
Normal,삼성,RF,2,26,구자욱,70
Normal,삼성,DH,3,27,김성윤,67
Normal,삼성,1B,4,19,디아즈,66
Normal,삼성,LF,5,24,최형우,64
Normal,삼성,3B,6,16,전병우,62
Normal,삼성,SS,7,22,이재현,62
Normal,삼성,2B,8,20,양우현,59
Normal,삼성,C,9,30,강민호,58
Normal,KT,CF,1,40,힐리어드,71
Normal,KT,DH,2,47,최원준,68
Normal,KT,RF,3,44,안현민,67
Normal,KT,3B,4,39,허경민,65
Normal,KT,SS,5,35,김상수,64
Normal,KT,LF,6,42,김현수,64
Normal,KT,2B,7,38,오윤석,61
Normal,KT,C,8,33,장성우,59
Normal,KT,1B,9,37,문상철,57
Normal,기아,3B,1,50,김도영,74
Normal,기아,RF,2,55,나성범,65
Normal,기아,LF,3,56,박재현,63
Normal,기아,CF,4,54,김호령,63
Normal,기아,1B,5,58,카스트로,62
Normal,기아,2B,6,51,김선빈,61
Normal,기아,DH,7,57,박정우,59
Normal,기아,C,8,49,한준수,58
Normal,기아,SS,9,60,김규성,58
Normal,두산,CF,1,73,정수빈,68
Normal,두산,SS,2,65,박찬호,67
Normal,두산,C,3,62,양의지,65
Normal,두산,2B,4,67,강승호,63
Normal,두산,DH,5,71,김민석,63
Normal,두산,RF,6,72,손아섭,62
Normal,두산,1B,7,69,양석환,61
Normal,두산,3B,8,63,임종성,59
Normal,두산,LF,9,75,류승민,59
Normal,한화,LF,1,88,페라자,69
Normal,한화,3B,2,80,노시환,66
Normal,한화,1B,3,83,강백호,65
Normal,한화,SS,4,79,심우준,63
Normal,한화,2B,5,84,황영묵,61
Normal,한화,DH,6,87,김태연,61
Normal,한화,C,7,76,허인서,58
Normal,한화,CF,8,89,이원석,58
Normal,한화,RF,9,85,임종찬,58
Normal,NC,SS,1,98,김주원,68
Normal,NC,RF,2,108,박건우,66
Normal,NC,2B,3,96,박민우,65
Normal,NC,C,4,95,김형준,64
Normal,NC,1B,5,109,이우성,62
Normal,NC,3B,6,97,서호철,62
Normal,NC,CF,7,100,최정원,62
Normal,NC,LF,8,107,권희동,61
Normal,NC,DH,9,103,블레인,61
Normal,롯데,RF,1,121,윤동희,66
Normal,롯데,2B,2,110,고승민,64
Normal,롯데,LF,3,118,레이예스,64
Normal,롯데,C,4,117,손성빈,63
Normal,롯데,3B,5,119,손호영,62
Normal,롯데,1B,6,113,나승엽,61
Normal,롯데,SS,7,116,박승욱,61
Normal,롯데,DH,8,123,전민재,61
Normal,롯데,CF,9,122,장두성,58
Normal,SSG,3B,1,136,최정,66
Normal,SSG,SS,2,132,박성한,65
Normal,SSG,CF,3,142,최지훈,63
Normal,SSG,2B,4,135,정준재,62
Normal,SSG,LF,5,139,에레디아,62
Normal,SSG,1B,6,130,고명준,61
Normal,SSG,C,7,128,조형우,59
Normal,SSG,RF,8,140,오태곤,59
Normal,SSG,DH,9,137,김성욱,58
Normal,키움,1B,1,148,데이비슨,61
Normal,키움,2B,2,159,히우라,61
Normal,키움,CF,3,156,이주형,61
Normal,키움,C,4,143,김건희,60
Normal,키움,DH,5,150,안치홍,60
Normal,키움,RF,6,154,박수종,58
Normal,키움,SS,7,151,어준서,57
Normal,키움,3B,8,146,김지석,55
Normal,키움,LF,9,155,박주홍,55
