rosterSet,team,role,order,cardId,name,ovr
Normal,LG,SP,1,50109,웰스,72
Normal,LG,SP,2,50113,임찬규,72
Normal,LG,SP,3,50117,톨허스트,72
Normal,LG,SP,4,50115,장현식,66
Normal,LG,SP,5,50118,함덕주,66
Normal,LG,RP,1,50107,송승기,62
Normal,LG,RP,2,50102,김진성,60
Normal,LG,RP,3,50103,리오스,60
Normal,LG,RP,4,50105,배재준,60
Normal,LG,RP,5,50104,박시원,58
Normal,LG,CP,1,50106,손주영,65
Normal,삼성,SP,1,50012,후라도,73
Normal,삼성,SP,2,50013,원태인,72
Normal,삼성,SP,3,50014,양창섭,70
Normal,삼성,SP,4,50011,오러클린,69
Normal,삼성,SP,5,50015,장찬희,66
Normal,삼성,RP,1,50002,배찬승,62
Normal,삼성,RP,2,50003,김태훈,62
Normal,삼성,RP,3,50005,이승현B,62
Normal,삼성,RP,4,50008,이승민,62
Normal,삼성,RP,5,50010,최지광,62
Normal,삼성,CP,1,50006,김재윤,64
Normal,KT,SP,1,50019,고영표,72
Normal,KT,SP,2,50020,사우어,71
Normal,KT,SP,3,50027,보쉴리,71
Normal,KT,SP,4,50028,소형준,70
Normal,KT,SP,5,50018,오원석,69
Normal,KT,RP,1,50021,김민수,62
Normal,KT,RP,2,50029,손동현,62
Normal,KT,RP,3,50030,스기모토,62
Normal,KT,RP,4,50023,문용익,59
Normal,KT,RP,5,50034,한승혁,59
Normal,KT,CP,1,50025,박영현,66
Normal,기아,SP,1,50055,올러,74
Normal,기아,SP,2,50051,네일,72
Normal,기아,SP,3,50054,양현종,72
Normal,기아,SP,4,50053,시라카와,66
Normal,기아,SP,5,50065,황동하,66
Normal,기아,RP,1,50048,곽도규,60
Normal,기아,RP,2,50061,조상우,60
Normal,기아,RP,3,50049,김범수,59
Normal,기아,RP,4,50056,윤영철,59
Normal,기아,RP,5,50059,전상현,59
Normal,기아,CP,1,50060,정해영,63
Normal,두산,SP,1,50038,잭로그,72
Normal,두산,SP,2,50041,곽빈,72
Normal,두산,SP,3,50042,벤자민,71
Normal,두산,SP,4,50036,최승용,67
Normal,두산,SP,5,50047,최민석,66
Normal,두산,RP,1,50035,박치국,62
Normal,두산,RP,2,50044,이영하,62
Normal,두산,RP,3,50043,박신지,61
Normal,두산,RP,4,50037,이병헌,60
Normal,두산,RP,5,50046,윤태호,59
Normal,두산,CP,1,50045,김택연,65
Normal,한화,SP,1,50119,류현진,72
Normal,한화,SP,2,50120,문동주,72
Normal,한화,SP,3,50123,왕옌청,72
Normal,한화,SP,4,50124,화이트,72
Normal,한화,SP,5,50121,에르난데스,67
Normal,한화,RP,1,50130,조동욱,62
Normal,한화,RP,2,50131,박상원,62
Normal,한화,RP,3,50125,이민우,60
Normal,한화,RP,4,50127,김종수,60
Normal,한화,RP,5,50132,정우주,60
Normal,한화,CP,1,50128,김서현,63
Normal,NC,SP,1,50067,라일리,72
Normal,NC,SP,2,50080,구창모,72
Normal,NC,SP,3,50082,테일러,72
Normal,NC,SP,4,50068,토다,67
Normal,NC,SP,5,50066,김녹원,66
Normal,NC,RP,1,50069,김영규,60
Normal,NC,RP,2,50077,송명기,60
Normal,NC,RP,3,50081,배재환,60
Normal,NC,RP,4,50071,임지민,58
Normal,NC,RP,5,50072,목지훈,58
Normal,NC,CP,1,50076,류진욱,63
Normal,롯데,SP,1,50086,김진욱,72
Normal,롯데,SP,2,50088,박세웅,72
Normal,롯데,SP,3,50092,로드리게스,72
Normal,롯데,SP,4,50096,비슬리,72
Normal,롯데,SP,5,50087,나균안,64
Normal,롯데,RP,1,50084,구승민,62
Normal,롯데,RP,2,50094,정현수,62
Normal,롯데,RP,3,50090,박준우,60
Normal,롯데,RP,4,50093,이민석,60
Normal,롯데,RP,5,50097,최이준,60
Normal,롯데,CP,1,50085,김원중,65
Normal,SSG,SP,1,50137,김광현,72
Normal,SSG,SP,2,50143,베니지아노,67
Normal,SSG,SP,3,50151,해치,67
Normal,SSG,SP,4,50136,김건우,66
Normal,SSG,SP,5,50149,타케다,66
Normal,SSG,RP,1,50139,노경은,62
Normal,SSG,RP,2,50140,문승원,60
Normal,SSG,RP,3,50146,이로운,60
Normal,SSG,RP,4,50150,한두솔,60
Normal,SSG,RP,5,50138,김민,58
Normal,SSG,CP,1,50147,조병현,62
Normal,키움,SP,1,50159,안우진,72
Normal,키움,SP,2,50160,알칸타라,72
Normal,키움,SP,3,50156,박준현,67
Normal,키움,SP,4,50166,하영민,67
Normal,키움,SP,5,50158,배동현,66
Normal,키움,RP,1,50161,오석주,60
Normal,키움,RP,2,50162,원종현,60
Normal,키움,RP,3,50153,김재웅,58
Normal,키움,RP,4,50154,박윤성,58
Normal,키움,RP,5,50155,박정훈,58
Normal,키움,CP,1,50163,유토,62
