cardId,name,team,year,cardType,grade,position,power,contact,run,defense,OVR
1,박동원,LG,26,N,5,C,65,78,40,76,64
2,구본혁,LG,26,N,3,SS,62,48,60,72,60
3,문보경,LG,26,N,5,3B,76,72,52,68,67
4,문정빈,LG,26,N,4,1B,65,66,55,62,62
5,신민재,LG,26,N,5,2B,74,45,82,68,67
6,오스틴,LG,26,N,5,1B,76,80,58,66,70
7,오지환,LG,26,N,5,SS,68,70,58,76,68
8,이영빈,LG,26,N,3,SS,60,55,65,63,60
9,천성호,LG,26,N,3,2B,64,45,62,62,58
10,문성주,LG,26,N,4,LF,74,55,55,64,62
11,박해민,LG,26,N,5,CF,68,48,84,80,70
12,송찬의,LG,26,N,4,1B,68,64,56,60,62
13,이재원,LG,26,N,3,RF,62,60,60,60,60
14,홍창기,LG,26,N,4,RF,82,45,60,66,63
15,최원영,LG,26,N,3,CF,60,45,70,64,59
16,전병우,삼성,26,N,4,3B,62,70,52,64,62
17,류지혁,삼성,26,N,4,3B,70,50,58,70,62
18,박계범,삼성,26,N,3,SS,60,55,58,66,59
19,디아즈,삼성,26,N,5,1B,74,86,42,62,66
20,양우현,삼성,26,N,3,2B,58,52,62,64,59
21,김상준,삼성,26,N,3,2B,60,55,62,62,59
22,이재현,삼성,26,N,3,SS,62,62,58,66,62
23,김영웅,삼성,26,N,3,3B,55,78,55,62,62
24,최형우,삼성,26,N,5,LF,78,82,42,55,64
25,김헌곤,삼성,26,N,3,LF,62,55,52,60,57
26,구자욱,삼성,26,N,5,RF,80,74,60,66,70
27,김성윤,삼성,26,N,5,CF,74,45,76,74,67
28,박승규,삼성,26,N,4,RF,66,58,68,66,64
29,김지찬,삼성,26,N,5,CF,76,40,88,76,70
30,강민호,삼성,26,N,3,C,60,68,35,72,58
31,김도환,삼성,26,N,3,C,55,55,45,68,55
32,한승택,KT,26,N,3,C,55,50,42,74,55
33,장성우,KT,26,N,4,C,60,68,35,74,59
34,권동진,KT,26,N,3,SS,62,58,60,68,62
35,김상수,KT,26,N,5,SS,68,52,64,72,64
36,류현인,KT,26,N,3,2B,58,52,60,64,58
37,문상철,KT,26,N,3,1B,60,68,45,58,57
38,오윤석,KT,26,N,4,2B,66,56,58,66,61
39,허경민,KT,26,N,5,3B,74,52,58,76,65
40,힐리어드,KT,26,N,5,CF,66,78,72,68,71
41,김민혁,KT,26,N,5,CF,74,58,60,64,64
42,김현수,KT,26,N,5,LF,80,72,45,60,64
43,배정대,KT,26,N,3,CF,58,55,62,72,61
44,안현민,KT,26,N,5,RF,74,76,58,60,67
45,이정훈,KT,26,N,3,1B,58,55,50,58,55
46,장진혁,KT,26,N,4,CF,62,56,70,64,63
47,최원준,KT,26,N,5,CF,74,50,78,70,68
48,김태군,기아,26,N,3,C,58,52,38,74,55
49,한준수,기아,26,N,3,C,64,62,40,66,58
50,김도영,기아,26,N,5,3B,78,74,80,66,74
51,김선빈,기아,26,N,4,2B,74,45,55,70,61
52,박민,기아,26,N,3,SS,55,48,60,68,57
53,변우혁,기아,26,N,3,1B,55,70,42,58,56
54,김호령,기아,26,N,4,CF,55,48,72,80,63
55,나성범,기아,26,N,5,RF,74,78,50,58,65
56,박재현,기아,26,N,4,LF,62,50,74,68,63
57,박정우,기아,26,N,3,CF,62,45,66,64,59
58,카스트로,기아,26,N,4,1B,65,76,50,58,62
59,황대인,기아,26,N,3,1B,55,68,42,58,55
60,김규성,기아,26,N,3,SS,55,45,66,68,58
61,김기연,두산,26,N,3,C,56,55,42,68,55
62,양의지,두산,26,N,5,C,76,74,35,78,65
63,임종성,두산,26,N,3,3B,58,60,58,62,59
64,오명진,두산,26,N,4,2B,66,52,60,66,61
65,박찬호,두산,26,N,5,SS,72,45,76,76,67
66,이유찬,두산,26,N,4,2B,64,45,70,68,61
67,강승호,두산,26,N,4,2B,66,66,58,64,63
68,박준순,두산,26,N,4,2B,66,58,62,64,62
69,양석환,두산,26,N,4,1B,62,78,42,62,61
70,안재석,두산,26,N,3,SS,55,52,60,64,57
71,김민석,두산,26,N,4,CF,68,55,68,64,63
72,손아섭,두산,26,N,4,RF,80,58,52,58,62
73,정수빈,두산,26,N,5,CF,72,42,78,80,68
74,김인태,두산,26,N,3,RF,60,55,50,58,55
75,류승민,두산,26,N,3,LF,58,50,66,62,59
76,허인서,한화,26,N,4,C,60,58,45,72,58
77,최재훈,한화,26,N,4,C,64,45,40,78,56
78,이도윤,한화,26,N,4,SS,58,45,62,72,59
79,심우준,한화,26,N,4,SS,60,48,72,72,63
80,노시환,한화,26,N,5,3B,68,82,50,66,66
