cardId,name,team,year,cardType,grade,position,velo,stuff,control,stamina,OVR
50001,이재희,삼성,26,N,4,RP,75,65,67,40,61
50002,배찬승,삼성,26,N,3,RP,80,65,64,40,62
50003,김태훈,삼성,26,N,3,RP,75,66,68,40,62
50004,이승현A,삼성,26,N,3,SP,70,55,60,65,62
50005,이승현B,삼성,26,N,3,RP,77,65,64,42,62
50006,김재윤,삼성,26,N,5,CP,77,75,68,38,64
50007,미야지,삼성,26,N,3,RP,75,70,61,35,60
50008,이승민,삼성,26,N,4,RP,77,68,65,40,62
50009,백정현,삼성,26,N,3,RP,65,62,67,45,59
50010,최지광,삼성,26,N,4,RP,75,70,66,37,62
50011,오러클린,삼성,26,N,4,SP,76,70,68,65,69
50012,후라도,삼성,26,N,5,SP,76,74,72,70,73
50013,원태인,삼성,26,N,5,SP,78,76,70,67,72
50014,양창섭,삼성,26,N,4,SP,74,68,72,66,70
50015,장찬희,삼성,26,N,3,SP,76,64,66,60,66
50016,이재익,삼성,26,N,3,RP,68,55,58,35,54
50017,임기영,삼성,26,N,3,RP,72,65,68,45,62
50018,오원석,KT,26,N,5,SP,76,70,68,65,69
50019,고영표,KT,26,N,5,SP,72,75,75,68,72
50020,사우어,KT,26,N,5,SP,78,74,68,66,71
50021,김민수,KT,26,N,4,RP,75,68,65,40,62
50022,로건,KT,26,N,4,SP,75,68,65,62,67
50023,문용익,KT,26,N,3,RP,76,64,60,38,59
50024,주권,KT,26,N,4,CP,74,68,66,40,62
50025,박영현,KT,26,N,5,CP,78,76,70,42,66
50026,배제성,KT,26,N,4,SP,75,66,62,62,66
50027,보쉴리,KT,26,N,5,SP,77,73,68,67,71
50028,소형준,KT,26,N,5,SP,76,72,70,65,70
50029,손동현,KT,26,N,4,RP,75,68,65,40,62
50030,스기모토,KT,26,N,4,RP,76,67,66,40,62
50031,우규민,KT,26,N,3,RP,68,62,70,35,58
50032,원상현,KT,26,N,3,RP,74,60,58,38,57
50033,이상동,KT,26,N,3,RP,73,61,59,38,57
50034,한승혁,KT,26,N,3,RP,78,65,55,40,59
50035,박치국,두산,26,N,4,RP,75,68,65,40,62
50036,최승용,두산,26,N,4,SP,75,67,65,62,67
50037,이병헌,두산,26,N,3,RP,76,65,60,40,60
50038,잭로그,두산,26,N,5,SP,77,74,70,68,72
50039,최지강,두산,26,N,3,RP,73,61,59,38,57
50040,이용찬,두산,26,N,3,RP,70,62,65,38,58
50041,곽빈,두산,26,N,5,SP,78,75,68,68,72
50042,벤자민,두산,26,N,5,SP,76,73,69,67,71
50043,박신지,두산,26,N,4,RP,75,67,65,40,61
50044,이영하,두산,26,N,4,RP,76,68,64,42,62
50045,김택연,두산,26,N,5,CP,78,76,68,40,65
50046,윤태호,두산,26,N,3,RP,74,64,62,38,59
50047,최민석,두산,26,N,4,SP,74,66,64,60,66
50048,곽도규,기아,26,N,3,RP,75,65,62,38,60
